Symbol,Date,Open,Low,High,Close,Volume,Value,Trades
FP,2011-01-25,0.5703,0.5703,0.6395,0.6153,351725743,213634846.45,5638
FP,2011-01-26,0.6229,0.5973,0.6267,0.6063,233467301,141931553.88,3697
FP,2011-01-27,0.6082,0.5945,0.6129,0.5968,174526735,104264182.75,2192
FP,2011-01-28,0.593,0.5874,0.5968,0.5874,69251621,40956908.76,1576
FP,2011-01-31,0.585,0.5736,0.5855,0.5826,84982545,49382175.43,1077
FP,2011-02-01,0.5878,0.5855,0.5926,0.5902,52154359,30773700.62,661
FP,2011-02-02,0.5968,0.5968,0.603,0.6016,108525097,65141721.49,615
FP,2011-02-03,0.6016,0.6016,0.6054,0.6016,13385016,8078789.16,546
FP,2011-02-04,0.6025,0.5968,0.6044,0.5968,13661775,8215564.61,448
FP,2011-02-07,0.5987,0.5964,0.6016,0.5964,21951429,13109645.84,500
FP,2011-02-08,0.5968,0.5964,0.6025,0.5964,21796190,13068897.28,412
FP,2011-02-09,0.5959,0.5935,0.5987,0.594,26922919,16046358.4,431
FP,2011-02-10,0.5954,0.584,0.5954,0.584,41309488,24263377.05,663
FP,2011-02-11,0.5831,0.5774,0.5874,0.5798,33852798,19735373.19,591
FP,2011-02-14,0.5817,0.5732,0.5845,0.5765,36591758,21109346.66,1011
FP,2011-02-15,0.5779,0.5684,0.5788,0.5684,46898364,26804591.9,994
FP,2011-02-16,0.5684,0.5556,0.5689,0.5618,47490441,26607166.67,1339
FP,2011-02-17,0.5618,0.5471,0.5618,0.549,65507351,36281870.07,1166
FP,2011-02-18,0.5476,0.5315,0.5637,0.5637,98677180,53618984.59,1463
FP,2011-02-21,0.5689,0.5589,0.5741,0.5684,28491740,16201189.28,548
FP,2011-02-22,0.5594,0.5594,0.567,0.5637,14966424,8423471.15,248
FP,2011-02-23,0.5613,0.5613,0.5684,0.5642,38691152,21941712.35,282
FP,2011-02-24,0.5637,0.5627,0.5675,0.5642,57260043,32436497.76,254
FP,2011-02-25,0.5675,0.5637,0.5717,0.5717,30852202,17483604.15,372
FP,2011-02-28,0.5732,0.5708,0.5803,0.5803,26631442,15343849.86,502
FP,2011-03-01,0.5831,0.5784,0.5888,0.5807,29990998,17501241.33,471
FP,2011-03-02,0.5779,0.5698,0.5826,0.5779,28764893,16653405.81,496
FP,2011-03-03,0.5798,0.5788,0.5845,0.5836,38237165,22293006.16,411
FP,2011-03-04,0.5845,0.5727,0.585,0.5812,12574330,7284643.13,388
FP,2011-03-07,0.5774,0.5694,0.5864,0.5694,30411324,17562780.84,598
FP,2011-03-08,0.576,0.5708,0.5779,0.5708,21580816,12389454,272
FP,2011-03-09,0.5717,0.5665,0.575,0.5684,14142626,8047242.51,551
FP,2011-03-10,0.5684,0.5646,0.5703,0.5684,12876295,7305122.28,378
FP,2011-03-11,0.5637,0.5618,0.5703,0.5703,12582851,7129581.3,349
FP,2011-03-14,0.5703,0.5665,0.5703,0.5689,20258960,11518500.35,239
FP,2011-03-15,0.567,0.5547,0.567,0.5608,40349571,22637988.21,568
FP,2011-03-16,0.5613,0.5613,0.5675,0.5637,39222934,22124272.43,243
FP,2011-03-17,0.5613,0.557,0.5642,0.5632,86249199,48556940.29,330
FP,2011-03-18,0.566,0.5656,0.575,0.575,36723580,20911776.31,369
FP,2011-03-21,0.5769,0.576,0.5793,0.5788,46017881,26592729.82,376
FP,2011-03-22,0.5788,0.5779,0.5822,0.5798,13699625,7939663.27,326
