Symbol,Date,Open,Low,High,Close,Volume,Value,Trades
SIF3,2001-01-03,null,0.01625,0.0175,0.01725,885204,15363.08,62
SIF3,2001-01-04,null,0.0175,0.01875,0.01875,1917696,35204.034,78
SIF3,2001-01-05,null,0.01875,0.0205,0.01975,3226704,63504.770000000004,172
SIF3,2001-01-08,null,0.018250000000000002,0.01975,0.018250000000000002,2410272,46055.972,136
SIF3,2001-01-09,null,0.017750000000000002,0.019,0.017750000000000002,1997620,36700.075000000004,132
SIF3,2001-01-10,null,0.018000000000000002,0.019,0.01875,658688,12201.804,196
SIF3,2001-01-11,null,0.018250000000000002,0.0195,0.0195,565044,10696.147,122
SIF3,2001-01-12,null,0.0195,0.02025,0.01975,1605808,32150.397,185
SIF3,2001-01-15,null,0.0195,0.02,0.01975,919872,18199.861,96
SIF3,2001-01-16,null,0.0195,0.02,0.0195,821492,16220.247000000001,133
SIF3,2001-01-17,null,0.01925,0.0195,0.0195,911656,17742.239,146
SIF3,2001-01-18,null,0.01925,0.01975,0.01975,711428,13914.158000000001,162
SIF3,2001-01-19,null,0.01925,0.01975,0.01975,896348,17548.829,166
SIF3,2001-01-22,null,0.01975,0.02,0.01975,1479004,29242.449,101
SIF3,2001-01-23,null,0.0195,0.01975,0.01975,933980,18446.097,174
SIF3,2001-01-24,null,0.01975,0.02,0.01975,1539420,30466.718,158
SIF3,2001-01-25,null,0.0195,0.01975,0.01975,1965216,38701.488000000005,119
SIF3,2001-01-26,null,0.0195,0.02,0.02,4216596,83279.109,141
SIF3,2001-01-29,null,0.01975,0.02,0.01975,1984080,39186.555,154
SIF3,2001-01-30,null,0.01925,0.01975,0.0195,2916420,57305.235,155
SIF3,2001-01-31,null,0.01875,0.01925,0.01875,1983256,37706.012,170
SIF3,2001-02-01,null,0.018000000000000002,0.019,0.01875,3031588,56535.908,168
SIF3,2001-02-02,null,0.017750000000000002,0.01875,0.018250000000000002,4050968,73584.319,152
SIF3,2001-02-05,null,0.0175,0.018250000000000002,0.018250000000000002,1113104,19930.741,92
SIF3,2001-02-06,null,0.018000000000000002,0.0195,0.019,4738764,90222.494,170
SIF3,2001-02-07,null,0.01875,0.0195,0.0195,6696040,130105.56000000001,215
SIF3,2001-02-08,null,0.01925,0.01975,0.0195,5475596,106952.80900000001,159
SIF3,2001-02-09,null,0.0195,0.01975,0.0195,1822424,35643.268000000004,137
SIF3,2001-02-12,null,0.0195,0.01975,0.01975,1831656,35993.411,142
SIF3,2001-02-13,null,0.01975,0.0205,0.02025,3311216,66510.076,181
SIF3,2001-02-14,null,0.0205,0.022250000000000002,0.022250000000000002,7934572,170925.396,256
SIF3,2001-02-15,null,0.021500000000000002,0.02275,0.022500000000000003,18147660,404113.17500000005,319
SIF3,2001-02-16,null,0.01925,0.01925,0.01925,2400,46.2,1
SIF3,2001-02-19,null,0.0165,0.0165,0.0165,245200,4045.8,32
SIF3,2001-02-20,null,0.014750000000000001,0.01575,0.015000000000000001,3219552,48680.588,264
SIF3,2001-02-21,null,0.015000000000000001,0.0155,0.015250000000000001,846788,13021.467,105
SIF3,2001-02-22,null,0.015250000000000001,0.01575,0.01575,586248,9120.123,95
SIF3,2001-02-23,null,0.0155,0.0165,0.016,5258236,85291.05500000001,88
SIF3,2001-02-26,null,0.015000000000000001,0.01625,0.015000000000000001,6689096,102708.16500000001,117
SIF3,2001-02-27,null,0.01425,0.015250000000000001,0.015000000000000001,9379636,138166.92200000002,129
SIF3,2001-02-28,null,0.0145,0.015000000000000001,0.015000000000000001,299820,4461.502,74
SIF3,2001-03-01,null,0.0145,0.01575,0.015000000000000001,1097448,16913.795000000002,103
SIF3,2001-03-02,null,0.015000000000000001,0.01575,0.01575,2538632,38779.607,64
SIF3,2001-03-05,null,0.015000000000000001,0.01575,0.015250000000000001,577028,8898.022,88
SIF3,2001-03-06,null,0.0145,0.016,0.014750000000000001,2628136,40031.714,152
SIF3,2001-03-07,null,0.014750000000000001,0.015250000000000001,0.015000000000000001,453944,6862.412,96
SIF3,2001-03-08,null,0.015000000000000001,0.0155,0.015000000000000001,2504764,38179.61,75
SIF3,2001-03-09,null,0.015000000000000001,0.0155,0.015250000000000001,222996,3390.058,90
SIF3,2001-03-12,null,0.015000000000000001,0.0155,0.015250000000000001,314020,4799,73
SIF3,2001-03-13,null,0.015250000000000001,0.0155,0.015250000000000001,4590684,71104.989,76
SIF3,2001-03-14,null,0.015000000000000001,0.0155,0.015000000000000001,386064,5872.17,185
SIF3,2001-03-15,null,0.015000000000000001,0.015250000000000001,0.015000000000000001,303960,4592.3,89
SIF3,2001-03-16,null,0.015000000000000001,0.0155,0.015000000000000001,253324,3831.13,54
SIF3,2001-03-19,null,0.015000000000000001,0.016,0.0155,448036,6952.75,88
SIF3,2001-03-20,null,0.015250000000000001,0.01575,0.0155,1025676,15869.03,109
SIF3,2001-03-21,null,0.015250000000000001,0.01575,0.0155,363396,5618.771000000001,82
SIF3,2001-03-22,null,0.015250000000000001,0.01575,0.0155,638100,9903.822,67
SIF3,2001-03-23,null,0.015250000000000001,0.01575,0.0155,331084,5154.331,52
SIF3,2001-03-26,null,0.0155,0.01575,0.0155,326888,5101.464,66
SIF3,2001-03-27,null,0.0155,0.01575,0.0155,911104,14273.567000000001,73
SIF3,2001-03-28,null,0.0155,0.016,0.016,194528,3055.338,77
SIF3,2001-03-29,null,0.01575,0.016,0.01575,477032,7575.27,68
SIF3,2001-03-30,null,0.016,0.01625,0.01625,367408,5924.528,44
SIF3,2001-04-02,null,0.01625,0.0165,0.01625,440620,7169.775000000001,49
SIF3,2001-04-03,null,0.01575,0.01625,0.016,512888,8283.901,54
SIF3,2001-04-04,null,0.01575,0.01625,0.01575,4559116,73528.623,59
SIF3,2001-04-05,null,0.0155,0.016,0.01575,545108,8635.802,93
SIF3,2001-04-25,null,0.015250000000000001,0.016,0.01575,1675500,26261.749,276
SIF3,2001-04-26,null,0.0155,0.016,0.01575,586620,9235.607,89
SIF3,2001-04-27,null,0.0155,0.016,0.016,1284672,20414.539,90
SIF3,2001-05-02,null,0.01575,0.016,0.01575,685972,10844.059000000001,64
SIF3,2001-05-03,null,0.0155,0.01625,0.01625,756376,12173.115,85
SIF3,2001-05-04,null,0.016,0.0165,0.0165,1223244,19962.524,95
SIF3,2001-05-07,null,0.01625,0.01625,0.01625,476888,7749.43,61
SIF3,2001-05-08,null,0.01625,0.01675,0.0165,708632,11699.274000000001,69
SIF3,2001-05-09,null,0.0165,0.01675,0.01675,373476,6237.8330000000005,78
SIF3,2001-05-10,null,0.0155,0.01675,0.0155,8883280,143260.47400000002,135
SIF3,2001-05-11,null,0.0155,0.01625,0.01575,1880772,29463.981,83
SIF3,2001-05-14,null,0.0155,0.01625,0.016,1053936,17039.633,53
SIF3,2001-05-15,null,0.016,0.01625,0.016,1012296,16394.785,47
SIF3,2001-05-16,null,0.01575,0.01625,0.01625,1849928,29952.594,63
SIF3,2001-05-17,null,0.01575,0.01675,0.0165,2153860,35494.308000000005,78
SIF3,2001-05-18,null,0.016,0.01625,0.016,583288,9475.408000000001,47
SIF3,2001-05-21,null,0.0155,0.01625,0.01625,3577576,57801.468,59
SIF3,2001-05-22,null,0.01575,0.016,0.01575,3386980,53376.615000000005,87
SIF3,2001-05-23,null,0.0155,0.016,0.01575,897880,14246.242,83
SIF3,2001-05-24,null,0.0155,0.016,0.0155,1221536,19081.75,66
SIF3,2001-05-25,null,0.015250000000000001,0.016,0.015250000000000001,623668,9675.419,50
SIF3,2001-05-28,null,0.015250000000000001,0.01625,0.01625,4815836,77826.598,86
SIF3,2001-05-29,null,0.01575,0.01625,0.01625,2282956,37019.39,70
SIF3,2001-05-30,null,0.01575,0.01625,0.01625,3774064,61230.304000000004,89
SIF3,2001-05-31,null,0.016,0.01625,0.016,1596300,25930.604000000003,39
SIF3,2001-06-01,null,0.01575,0.01675,0.01675,2762028,45740.411,75
